date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:04:39	443586/443586	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Jan%202021%2018:45:52%20GMT	http://brakt-demo3.blogspot.com/	C:/My%20Web%20Sites/fuckier/brakt-demo3.blogspot.com/index.html	(from )
23:04:40	128/128	---M-Z	200	added ('OK')	text/plain	date:Wed,%2027%20Jan%202021%2018:45:52%20GMT	http://brakt-demo3.blogspot.com/robots.txt		(from )
23:04:41	1150/1150	---M-Z	200	added ('OK')	image/x-icon	date:Wed,%2027%20Jan%202021%2018:45:52%20GMT	http://brakt-demo3.blogspot.com/favicon.ico	C:/My%20Web%20Sites/fuckier/brakt-demo3.blogspot.com/favicon.ico	(from http://brakt-demo3.blogspot.com/)
23:04:43	147084/147084	---M-Z	200	added ('OK')	application/atom+xml	date:Wed,%2027%20Jan%202021%2018:45:52%20GMT	http://brakt-demo3.blogspot.com/feeds/posts/default	C:/My%20Web%20Sites/fuckier/brakt-demo3.blogspot.com/feeds/posts/default	(from http://brakt-demo3.blogspot.com/)
23:04:43	36990/36990	---M--	200	added ('OK')	text/css	date:Mon,%2015%20Feb%202021%2007:09:47%20GMT	https://www.blogger.com/static/v1/widgets/3416767676-css_bundle_v2.css	C:/My%20Web%20Sites/fuckier/www.blogger.com/static/v1/widgets/3416767676-css_bundle_v2.css	(from http://brakt-demo3.blogspot.com/)
23:04:44	128279/128279	---M-Z	200	added ('OK')	application/rss+xml	date:Wed,%2027%20Jan%202021%2018:45:52%20GMT	http://brakt-demo3.blogspot.com/feeds/posts/default?alt=rss	C:/My%20Web%20Sites/fuckier/brakt-demo3.blogspot.com/feeds/posts/default9522	(from http://brakt-demo3.blogspot.com/)
23:04:45	496/496	---M--	200	added ('OK')	image/png	etag:%22v157%22	https://3.bp.blogspot.com/-x-XPNSz2FKQ/WDmkagdc-2I/AAAAAAAAAVU/FygEdAB4RnM_FsxRPVL-_K7NfRH6E8KIgCLcB/s1600/menu-icon.png	C:/My%20Web%20Sites/fuckier/3.bp.blogspot.com/-x-XPNSz2FKQ/WDmkagdc-2I/AAAAAAAAAVU/FygEdAB4RnM_FsxRPVL-_K7NfRH6E8KIgCLcB/s1600/menu-icon.png	(from http://brakt-demo3.blogspot.com/)
23:04:45	1432/1432	---M--	200	added ('OK')	image/png	etag:%22v2a6%22	https://3.bp.blogspot.com/-cu7Qzhf0-_M/WRcn-lMvThI/AAAAAAAAAqU/087bwjT73jAGyBSPh007SVB7PF9GJbxdACLcB/s1600/588a64e7d06f6719692a2d11.png	C:/My%20Web%20Sites/fuckier/3.bp.blogspot.com/-cu7Qzhf0-_M/WRcn-lMvThI/AAAAAAAAAqU/087bwjT73jAGyBSPh007SVB7PF9GJbxdACLcB/s1600/588a64e7d06f6719692a2d11.png	(from http://brakt-demo3.blogspot.com/)
23:04:46	1461/1461	---M--	200	added ('OK')	image/png	etag:%22vbc%22	https://2.bp.blogspot.com/-Hl9-Lzqns3I/V3SyHATylXI/AAAAAAAAALo/reGirn_xSjMsNbiiOR3Z8Sxx2pTsz2vPQCLcB/s1600/blockquote.png	C:/My%20Web%20Sites/fuckier/2.bp.blogspot.com/-Hl9-Lzqns3I/V3SyHATylXI/AAAAAAAAALo/reGirn_xSjMsNbiiOR3Z8Sxx2pTsz2vPQCLcB/s1600/blockquote.png	(from http://brakt-demo3.blogspot.com/)
23:04:47	37414/37414	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	https://netdna.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.css	C:/My%20Web%20Sites/fuckier/netdna.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.css	(from http://brakt-demo3.blogspot.com/)
